plt_cn,statecd,unitcd,countycd,plot,measyear,drybio_ag_live_5plus,lat_public,lon_public,puid,measmon,measday,time
4.03914E+13,16,3,81,86024,2012,75.68272267,2379229.58,-1211250.079,86024_3_81_16,8,29,2012.746119
4.03899E+13,16,3,37,83313,2012,0,2545143.276,-1423834.924,83313_3_37_16,9,1,2012.75274
4.039E+13,16,3,37,80593,2012,0,2528661.505,-1442452.219,80593_3_37_16,9,1,2012.75274
4.039E+13,16,3,37,88620,2012,0,2522425.35,-1416331.003,88620_3_37_16,9,1,2012.75274
4.03902E+13,16,3,43,81258,2012,0,2471696.063,-1221859.954,81258_3_43_16,9,1,2012.75274
4.03902E+13,16,3,43,82874,2012,7.012887755,2469500.317,-1198213.131,82874_3_43_16,9,13,2012.785616
4.03902E+13,16,3,43,87969,2012,60.36899968,2458226.449,-1229493.26,87969_3_43_16,10,16,2012.877169
4.03902E+13,16,3,43,81082,2012,4.768178849,2457447.418,-1224096.269,81082_3_43_16,6,26,2012.571233
4.03902E+13,16,3,43,88498,2012,20.93249246,2453259.236,-1200137.362,88498_3_43_16,9,25,2012.818493
4.03902E+13,16,3,43,84996,2012,37.19661045,2450534.941,-1215902.719,84996_3_43_16,8,15,2012.707763
4.03903E+13,16,3,43,83133,2012,40.29017894,2434034.985,-1203010.233,83133_3_43_16,9,20,2012.804795
4.03903E+13,16,3,43,85864,2012,63.63994734,2467851.291,-1211056.901,85864_3_43_16,7,5,2012.597032
4.03891E+13,16,3,7,84570,2012,0,2255691.668,-1236973.213,84570_3_7_16,6,12,2012.532877
4.03899E+13,16,3,33,85055,2011,0,2499943.281,-1314844.724,85055_3_33_16,9,1,2011.75274
4.03899E+13,16,3,33,87280,2011,0,2493044.922,-1303250.596,87280_3_33_16,8,14,2011.705023
4.03899E+13,16,3,33,81282,2011,104.2016343,2487928.969,-1277181.264,81282_3_33_16,7,1,2011.586073
4.03895E+13,16,3,19,85882,2012,0,2379362.016,-1247029.153,85882_3_19_16,10,25,2012.901826
4.03895E+13,16,3,19,85226,2012,16.60750379,2361814.332,-1229453.387,85226_3_19_16,6,25,2012.568493
4.03895E+13,16,3,19,80251,2012,0,2349818.438,-1251546.316,80251_3_19_16,9,1,2012.75274
4.039E+13,16,3,37,85180,2011,0,2538285.51,-1440026.117,85180_3_37_16,9,1,2011.75274
4.039E+13,16,3,37,88799,2011,36.41182288,2518032.938,-1417179.598,88799_3_37_16,9,19,2011.802055
4.039E+13,16,3,37,87480,2011,0,2515980.64,-1434818.384,87480_3_37_16,9,1,2011.75274
4.039E+13,16,3,37,82326,2011,0,2511254.373,-1407894.423,82326_3_37_16,9,1,2011.75274
4.039E+13,16,3,37,82238,2012,55.53107114,2507108.625,-1383833.281,82238_3_37_16,8,30,2012.748858
4.039E+13,16,3,37,84746,2011,0,2503634.643,-1449066.402,84746_3_37_16,9,1,2011.75274
4.039E+13,16,3,37,88774,2011,0,2493967.673,-1394972.012,88774_3_37_16,9,1,2011.75274
4.03914E+13,16,3,81,81261,2011,14.86504322,2384819.97,-1215655.037,81261_3_81_16,9,28,2011.826712
4.039E+13,16,3,37,82772,2011,0,2496331.959,-1435114.315,82772_3_37_16,9,1,2011.75274
4.039E+13,16,3,37,80657,2011,74.85169456,2487784.093,-1386317.001,80657_3_37_16,7,26,2011.654566
4.039E+13,16,3,37,81844,2011,5.273617582,2483675.792,-1426776.101,81844_3_37_16,6,29,2011.579452
4.039E+13,16,3,37,88161,2011,60.20304444,2478939.321,-1397442.628,88161_3_37_16,8,31,2011.751598
4.039E+13,16,3,37,84461,2011,4.062122693,2484724.553,-1452875.065,84461_3_37_16,9,8,2011.771918
4.039E+13,16,3,37,87396,2011,0,2481269.904,-1438191.624,87396_3_37_16,9,1,2011.75274
4.039E+13,16,3,37,87375,2012,0,2476683.906,-1413200.782,87375_3_37_16,4,12,2012.36621
4.03895E+13,16,3,19,81089,2012,0,2349433.687,-1247036.814,81089_3_19_16,9,1,2012.75274
4.03895E+13,16,3,19,84209,2012,41.53570341,2344063.431,-1217275.866,84209_3_19_16,6,23,2012.563014
4.03895E+13,16,3,19,84271,2012,43.48195878,2341594.444,-1232411.633,84271_3_19_16,6,19,2012.552055
4.03895E+13,16,3,19,86637,2012,0,2328681.613,-1250165.043,86637_3_19_16,9,1,2012.75274
4.03914E+13,16,3,81,86003,2011,0,2410526.103,-1222627.253,86003_3_81_16,9,1,2011.75274
